planid	partnb	id	type	actual	nominal	uppertol	lowertol	deviation	exceed	featureid	featuresigma	comment	link	linkmode	mmc	useruppertol	userlowertol	fftphi	fftphiunit	zoneroundnessangle	groupname	groupname2	idsymbol	idshort	K2005class
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 1; Right-Drive)	Angular profile error (fHa) (-0.50; 1; Right-Drive)	0.001667497000262	0.00000	0.005000	-0.003000																632	fHa___1_1R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 1; Right-Drive)	Angular profile error (fHa) (-3.50; 1; Right-Drive)	0.000438273978701	0.00000	0.005000	-0.003000																632	fHa___4_1R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 1; Right-Drive)	Angular profile error (fHa) (-6.50; 1; Right-Drive)	0.003611146434186	0.00000	0.005000	-0.003000																632	fHa___7_1R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 13; Right-Drive)	Angular profile error (fHa) (-0.50; 13; Right-Drive)	0.002572813375627	0.00000	0.005000	-0.003000																632	fHa___113R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 13; Right-Drive)	Angular profile error (fHa) (-3.50; 13; Right-Drive)	0.000380106627465	0.00000	0.005000	-0.003000																632	fHa___413R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 13; Right-Drive)	Angular profile error (fHa) (-6.50; 13; Right-Drive)	0.003217979818796	0.00000	0.005000	-0.003000																632	fHa___713R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 26; Right-Drive)	Angular profile error (fHa) (-0.50; 26; Right-Drive)	0.003533435900561	0.00000	0.005000	-0.003000																632	fHa___126R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 26; Right-Drive)	Angular profile error (fHa) (-3.50; 26; Right-Drive)	0.001780161472058	0.00000	0.005000	-0.003000																632	fHa___426R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 26; Right-Drive)	Angular profile error (fHa) (-6.50; 26; Right-Drive)	0.005363269353567	0.00000	0.005000	-0.003000																632	fHa___726R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-0.50; 38; Right-Drive)	Angular profile error (fHa) (-0.50; 38; Right-Drive)	0.000674859598492	0.00000	0.005000	-0.003000																632	fHa___138R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-3.50; 38; Right-Drive)	Angular profile error (fHa) (-3.50; 38; Right-Drive)	-0.002261078915657	0.00000	0.005000	-0.003000																632	fHa___438R	3
35.7371 Grinding in process M05710	222	Angular profile error (fHa) (-6.50; 38; Right-Drive)	Angular profile error (fHa) (-6.50; 38; Right-Drive)	0.000939752502457	0.00000	0.005000	-0.003000																632	fHa___738R	3
35.7371 Grinding in process M05710	222	Profile - variation angular deviation (varfHa) (Right-Drive)	Profile - variation angular deviation (varfHa) (Right-Drive)	0.004041240387714	0.00000	0.012000	0.000000																0	vfHb_____R	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-0.50; 1; Right-Drive)	Profile form error (ffa) (-0.50; 1; Right-Drive)	0.001184446879225	0.00000	0.003000	0.000000																631	ffa___1_1R	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-3.50; 1; Right-Drive)	Profile form error (ffa) (-3.50; 1; Right-Drive)	0.000846913137188	0.00000	0.003000	0.000000																631	ffa___4_1R	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-6.50; 1; Right-Drive)	Profile form error (ffa) (-6.50; 1; Right-Drive)	0.000585856934122	0.00000	0.003000	0.000000																631	ffa___7_1R	3
35.7371 Grinding in process M05710	222	Profile form error (ffa) (-0.50; 13; Right-Drive)	Profile form error (ffa) (-0.50; 13; Right-Drive)	0.000554368884463	0.00000	0.003000	0.000000																631	ffa___113R	3
